aplicacion,nombre_del_creador,dinero recaudado
Otcom,Lilias,9369
Home Ing,Hewitt,180
Voltsillam,Jaime,8804
Redhold,Bethina,1396
Lotlux,Elaine,3199
Bitwolf,Rosalinda,3096
Flexidy,Rorke,9103
Latlux,Caren,2428
Vagram,Hamlin,3767
Gembucket,Rog,1695
Namfix,Clem,2572
Voltsillam,Amalea,3088
Stronghold,Gerianne,3249
Matsoft,Gates,1760
Cardify,Letty,5483
Zoolab,Garnet,5835
Bigtax,Daphna,8175
Flowdesk,Parrnell,8047
Transcof,Lilia,1973
Cardguard,Prue,4920
Domainer,Tildie,2493
Span,Maximo,5324
Matsoft,Ruthi,8139
Stim,Jacquelin,6578
Tres-Zap,Leanora,3126
Cardify,Karita,9571
Viva,Hilary,9835
Subin,Valli,992
Home Ing,Konstanze,8040
Regrant,Margarita,2361
Fintone,Eleanore,4649
Rank,Alberta,6868
Fintone,Benjie,2652
Daltfresh,Danya,3495
Matsoft,Laurence,5252
Bitwolf,Lucian,5473
Sub-Ex,Berna,7281
Redhold,Elisabeth,7253
Y-Solowarm,Loella,2123
Veribet,Shermie,6438
It,Kassia,8062
Ronstring,Augustina,1560
Cardify,Miran,1941
Zoolab,Marjie,1040
Zontrax,Claudetta,4023
Fintone,Jonah,3140
Stim,Angelia,6235
Flexidy,Lucian,9749
Zamit,Pasquale,3968
Matsoft,Joannes,1964
Bamity,Johannah,5415
Otcom,Marice,5137
Home Ing,Morly,1155
Biodex,Jeremie,3657
Konklux,Carter,5477
Tresom,Grata,2012
Flexidy,Hayley,383
Fix San,Benedicta,1860
Y-Solowarm,Francklin,8978
Flowdesk,Auria,9914
Ronstring,Kelcy,9248
Stringtough,Valle,6031
Temp,Amalee,5873
Voltsillam,Orly,6938
Duobam,Con,7696
Rank,Andreana,3538
Tampflex,Nolana,6315
Viva,Dwayne,267
Holdlamis,Gallard,8267
Sub-Ex,Madelena,8592
Tresom,Farly,8332
Alpha,Glenda,7740
Quo Lux,Gordie,3305
Tres-Zap,Penelopa,5383
Bitchip,Eugenia,1580
Mat Lam Tam,Tommy,7388
Quo Lux,Augusto,9237
Voyatouch,Thedric,9067
Stim,Tremaine,7185
Subin,Cassandra,610
Hatity,Sayer,4985
Fixflex,Natty,3594
Biodex,Shirley,6296
Y-Solowarm,Hasty,6594
Tres-Zap,Spencer,4331
Regrant,Meredithe,9763
Solarbreeze,Saunders,2295
Bitchip,Margette,9190
Voyatouch,Christan,7908
Bamity,Opalina,2235
Vagram,Johnna,8469
Quo Lux,Baryram,7206
Aerified,Nada,4494
Latlux,Suzanne,1143
Subin,Rea,8661
Opela,Vance,5109
Ventosanzap,Giffer,6308
Solarbreeze,Anatol,6762
Hatity,Fawn,8156
Konklux,Kipp,1185
Opela,Erina,2037
Lotstring,Ricki,4705
Sonsing,Eugenio,9277
Voyatouch,Jacobo,5791
Cardguard,Amalie,7886
Kanlam,Annamaria,2635
Sonsing,Milty,938
Tresom,Tiphanie,4484
Cardguard,Mirilla,7468
Daltfresh,Frederik,8109
Lotstring,Bernetta,8796
Stim,Skipp,6846
Holdlamis,Stan,8753
Alphazap,Meggy,7819
Bytecard,Carin,9182
Daltfresh,Roddy,607
Namfix,Colette,6546
Span,Tan,1566
Rank,Kasey,5187
Daltfresh,Fanni,6992
Cookley,Adolphus,360
Temp,Mari,1444
Bamity,Theodosia,9657
Alpha,Maynord,8676
Zathin,Traci,874
Zamit,Lana,7797
Regrant,Glennis,7961
Transcof,Jean,8538
Stim,Gabbie,9977
Pannier,Sidnee,6108
Tres-Zap,Annora,1323
Duobam,Daune,5431
Opela,Carlota,4868
Viva,Aigneis,201
Zoolab,Bella,8718
Sonair,Myra,7911
Cardify,Clemmie,3412
Prodder,Ki,2376
Wrapsafe,Klement,604
Latlux,Nanni,6839
Cookley,Ebeneser,3025
Lotstring,Darbee,2898
Aerified,Dame,2237
Gembucket,Antonetta,237
Kanlam,Ritchie,157
Voltsillam,Miner,5766
Flowdesk,Adelind,7993
Mat Lam Tam,Kalli,821
Domainer,Cyrillus,5828
Fixflex,Britteny,7741
Transcof,Ozzy,3308
Solarbreeze,Casar,9565
Keylex,Orv,8840
Voltsillam,Daphna,3116
Tin,Ashleigh,6
Cardify,Cliff,3477
Mat Lam Tam,Cris,8858
Veribet,Ginni,3961
Transcof,Lukas,5888
Ventosanzap,Fanechka,5866
Transcof,Millisent,2627
Cookley,Tiertza,1858
Zathin,Kellby,6823
Overhold,Renie,8636
Stringtough,Tuckie,7243
Biodex,Lenora,8347
Stronghold,Ethelda,5881
Flexidy,Derrick,807
Ventosanzap,Lorie,3236
It,Karola,2266
Domainer,Maybelle,6763
Flexidy,Benoit,8333
Y-Solowarm,Patrizia,5568
Matsoft,Clint,421
Cardify,Umberto,4901
Cookley,Tresa,4358
Stronghold,Stevy,5892
Latlux,Jamison,5247
Tres-Zap,Urban,8221
Sonsing,Renae,5881
Subin,Jennica,7266
Domainer,Serena,4012
Keylex,Luella,6058
Y-Solowarm,Kerri,7193
Alpha,Gisele,6972
Keylex,Johann,2897
Solarbreeze,Salim,6575
Holdlamis,Thorn,4166
Mat Lam Tam,Purcell,3337
Ventosanzap,Genia,7804
Bamity,Betsey,4075
Home Ing,Odelle,4323
Cookley,Collette,8689
Matsoft,Gunar,7158
Keylex,Virginia,1253
Tin,Sula,4382
Konklab,Torrin,2226
Transcof,Fern,980
Toughjoyfax,Silvano,6708
Daltfresh,Harcourt,4156
Y-find,Thedric,8611
Sonair,Cassandry,1248
Kanlam,Fancie,4265
Trippledex,Leila,4433
Aerified,Lurleen,4476
Bytecard,Huberto,1947
Subin,Lowrance,5040
Prodder,Turner,2833
Zoolab,Alvira,7945
Vagram,Cloe,9533
Ventosanzap,Kendell,811
Mat Lam Tam,Reinhold,2737
Biodex,Ruby,2634
Bamity,Belle,9158
Tampflex,Jilli,7548
Domainer,Gunner,2869
Stronghold,Renard,5143
Duobam,Bradley,5626
Zamit,Sauveur,8733
Cookley,Garik,2691
Tampflex,Idette,4830
Home Ing,Octavius,9557
Alphazap,Flinn,4866
Prodder,Hillary,3915
Stronghold,Dede,605
Fintone,Eva,5935
Cookley,Danell,6561
Namfix,Fulton,9843
Otcom,Filbert,8620
Zontrax,Rey,8270
Trippledex,Pepita,3440
Alpha,Regen,8429
Regrant,Elvera,2665
Tin,Upton,6850
It,Shaun,6833
Zamit,Ermina,968
Ronstring,Parsifal,2113
Andalax,Wernher,9310
Kanlam,Bobbi,1775
Fixflex,Vivie,6798
Rank,Andrus,9941
Toughjoyfax,Cory,7393
Home Ing,Chariot,8532
Konklux,Maxy,8907
Andalax,Elwood,4577
Sonsing,Jana,4504
Span,Arron,5888
Mat Lam Tam,Bentley,1964
Andalax,Ferrel,8691
Alpha,Barclay,3516
Flexidy,Trip,5346
Bigtax,Roseann,3397
Cardify,Ashlee,4928
Bamity,Phylys,3815
Fintone,Rachel,1126
Toughjoyfax,Gerard,7108
Bitwolf,Kaleb,9417
Solarbreeze,Vladamir,9974
Tres-Zap,Shayne,2052
Lotstring,Dale,7745
Gembucket,Carlos,8696
Konklux,Skylar,8515
Lotstring,Kylynn,6202
Fixflex,Junette,6762
Vagram,Washington,624
Stringtough,Myles,283
Konklux,Gifford,7876
Otcom,Brockie,5304
Cookley,Bibi,1393
Cardify,Felike,7589
Gembucket,Laney,7816
Fintone,Weston,4004
Mat Lam Tam,Fairleigh,8213
Home Ing,Richy,8232
Veribet,Travis,5410
Stringtough,Christie,5741
Sonair,Donal,9007
Trippledex,Sophi,4448
Fix San,Keriann,8437
Tampflex,Leda,7881
It,Danella,8051
Cardify,Alis,4414
Wrapsafe,Jerald,9442
Zathin,Lyn,4958
Cardguard,Elinor,2039
Toughjoyfax,Philip,5448
Zamit,Trish,9955
Sonsing,Reinhard,5313
Bigtax,Federico,8799
Mat Lam Tam,Carly,7293
Tempsoft,Nye,8531
Prodder,Edward,6079
Solarbreeze,Bard,9328
Cookley,Tasia,7114
Stim,Caesar,3928
It,Obed,5490
Job,Ivette,3614
Transcof,Porty,2787
Ventosanzap,Lou,1830
Matsoft,Darci,3266
Sub-Ex,Stevena,9901
Trippledex,Noach,2177
Konklux,Gabriel,5167
Matsoft,Carlin,4810
Zontrax,Tedda,8636
Trippledex,Anthe,987
Konklab,Bret,4272
Regrant,Brennen,3597
Ventosanzap,Vonni,2087
Tin,Corney,8647
Cardguard,Bethanne,6948
Asoka,Jase,6564
Zoolab,Lauree,2380
Y-find,Denys,5728
Bamity,Lenee,9566
Matsoft,Maure,3610
Otcom,Rafael,2416
Domainer,Virgil,3663
Viva,Marvin,5654
Bytecard,Corey,777
Matsoft,Forester,9663
Stim,Quincey,1832
Zoolab,Lucie,1612
Vagram,Iseabal,9757
Asoka,Gilemette,6598
Tres-Zap,Maible,3316
Zathin,Elspeth,9772
Regrant,Con,8455
Domainer,Sallyann,1959
Ventosanzap,Jo,7362
Stim,Torry,8205
Keylex,Stacee,3236
Regrant,Samaria,3311
Stronghold,Midge,5489
Overhold,Dawn,9460
Veribet,Bernie,2764
Quo Lux,Terese,7652
Tampflex,Evelyn,863
Daltfresh,Paolina,1659
Rank,Dolores,3007
Bamity,Faye,7576
Lotstring,Raquela,3135
Tampflex,Angeli,9438
Sonair,Atalanta,2914
Daltfresh,Ola,7173
Tin,Casi,2531
Lotstring,Arley,4557
Rank,Dolf,4327
Alpha,Didi,2358
Wrapsafe,Gretta,8474
Bytecard,Tarah,9661
Asoka,Gale,9764
Stim,Nickie,370
Flowdesk,Meridel,4022
Namfix,Ida,3237
Prodder,Ettie,8728
Transcof,Hall,3572
Bamity,Ami,5670
Lotstring,Darcy,4935
Otcom,Licha,7316
Tresom,Lindsay,1423
Greenlam,Billi,7833
Keylex,George,3968
Lotstring,Demetris,7272
Matsoft,Beulah,1440
Gembucket,Dannye,5809
Y-find,Warren,1955
Stim,Fidelio,8754
Stringtough,Fredek,5214
Solarbreeze,Ailene,3850
Vagram,Sibyl,7478
Tampflex,Melany,4446
Pannier,Ker,8748
Quo Lux,Corabelle,8865
Holdlamis,Finn,6661
Wrapsafe,Dniren,7850
Ronstring,Bradford,9861
Sub-Ex,Bailey,6719
Asoka,Sigismundo,5203
Bamity,Tammy,8158
Bitchip,Muire,9776
Matsoft,Mame,9768
Y-find,Viviyan,6062
Sub-Ex,Hillery,5330
Transcof,Monro,9404
Holdlamis,Torie,3700
Holdlamis,Amery,6051
Hatity,Hillel,1179
Temp,Dore,128
It,Kandace,1743
Bytecard,Olag,8535
Matsoft,Kenna,2378
Gembucket,Aldridge,1464
Bamity,Lindsey,861
Quo Lux,Ashla,2224
Zoolab,Bryon,9930
Quo Lux,Tandi,1395
Y-Solowarm,Dame,8156
Treeflex,Elnore,6522
Hatity,Everard,3321
Voyatouch,Michale,6961
Bitchip,Peadar,1089
Keylex,Addi,3165
Cookley,Celisse,5877
Asoka,Flo,5884
Sonsing,Evangeline,7638
Flowdesk,Patricio,1036
Rank,Margette,2658
Tres-Zap,Con,1813
Konklux,Jayson,4283
Wrapsafe,Corene,1700
Bamity,Marcelline,3961
Sub-Ex,Rania,4746
Opela,Patricia,218
Daltfresh,Charmian,6098
Aerified,Marc,5747
Tin,Ronald,7353
Solarbreeze,Terrijo,3249
Span,Pincus,6190
Tin,Ezekiel,7352
Ronstring,Tymothy,5182
Domainer,Jerald,8674
It,Lynna,8784
Cookley,Noelyn,1189
Biodex,Maybelle,475
Lotstring,Gene,3880
Greenlam,Maddy,9664
Toughjoyfax,Karim,3358
Mat Lam Tam,Tadeo,9689
Trippledex,Kean,1824
Veribet,Willdon,1777
Vagram,Cherida,3846
Veribet,Penny,7042
Bitwolf,Branden,8815
Overhold,Valma,1341
Temp,Udell,6257
Quo Lux,Waldo,3414
Bamity,Madelle,1616
Fintone,Fernande,8420
Bitchip,Angie,3462
Ronstring,Kaitlynn,2068
Tempsoft,Nicolis,3999
Tampflex,Kellie,8835
Flowdesk,Sabra,494
Otcom,Stepha,6179
Voyatouch,Powell,9174
Andalax,Keefer,8117
Quo Lux,Klarrisa,7068
Cardguard,Robinia,1780
Span,Benjy,1915
Regrant,Gerhard,9244
Viva,Bernardo,1686
Alpha,Lilah,9757
Fix San,Des,9140
Vagram,Erika,395
Fixflex,Darla,3266
Flowdesk,Tedda,6350
Holdlamis,Celestyna,8337
Cardify,Karoline,8420
Lotstring,Jacquelyn,1463
Fixflex,Shane,742
Bamity,Myer,933
It,Ruthann,6964
Domainer,Modestine,7118
Greenlam,Siward,3663
Sonair,Gar,6152
Cardguard,Edin,9475
Vagram,Isidora,7071
Mat Lam Tam,Papagena,9088
Alphazap,Willi,1290
Regrant,Alanah,2074
Y-find,Mariette,6586
Fix San,Malissia,210
Prodder,Gavin,3337
Regrant,Lishe,9779
Bigtax,Siouxie,8660
Tampflex,Shannan,8032
Quo Lux,Ynes,8832
Tampflex,Kally,5929
Opela,Olenka,8631
Veribet,Frederich,7871
Zathin,Duffie,1481
Quo Lux,Richy,5271
Wrapsafe,Audre,6112
Gembucket,Panchito,234
Lotstring,Elset,5677
Trippledex,Carline,9945
Voltsillam,Abey,2537
Flexidy,Louie,2968
Biodex,Kiley,6434
Tresom,Alwyn,2112
Latlux,Karlee,1794
Gembucket,Sheela,3161
Asoka,Emmett,7972
Aerified,Clio,7868
Flexidy,Vanna,7156
Opela,Nola,2926
Namfix,Dillie,9218
Regrant,Maximilien,6203
Stronghold,Melitta,3634
Fix San,Janos,9125
Redhold,Kattie,4056
Temp,Cyrillus,5473
Ronstring,Robinia,2802
Overhold,Averell,6821
Job,Paul,8128
Stringtough,Kylynn,5941
Duobam,Emmalyn,9046
Ventosanzap,Adeline,2430
Matsoft,Robbyn,7538
Lotlux,Jammie,2428
Stronghold,Stefano,2811
Transcof,Siobhan,7319
Holdlamis,Judith,6285
Home Ing,Gram,818
Vagram,Wade,4350
Cardguard,Reba,4141
Ronstring,Perl,7005
Viva,Cindra,9375
Zathin,Gradeigh,4930
Bitwolf,Isidoro,2288
Trippledex,Aharon,7647
Stronghold,Chaddie,1603
Subin,Minny,4277
Kanlam,Remington,5031
Aerified,Estella,9665
Matsoft,Alfredo,7643
Bamity,Otis,3792
Zamit,Sibilla,6160
Alphazap,Bartlet,627
Solarbreeze,Yevette,3963
Rank,Rois,2750
Lotlux,Joey,8103
Home Ing,Skip,2151
Holdlamis,Alaine,2583
Subin,Emalia,3157
Home Ing,Martainn,9297
Transcof,Rea,1765
Zontrax,Arlin,6607
Flowdesk,Paulette,4493
Tampflex,Wheeler,1835
Zaam-Dox,Aile,3017
Gembucket,Giffy,7432
Temp,Alyosha,719
Transcof,Sharron,4852
Job,Lyssa,8100
Domainer,Alicia,7082
Voltsillam,Sonnie,1688
Kanlam,Galvin,7981
Keylex,Marcella,8497
Bitchip,Savina,5642
Stronghold,Cyndia,5771
Otcom,Solomon,5277
Subin,Dollie,8442
Greenlam,Mikaela,4456
Rank,Morgen,1665
Lotstring,Cathe,1497
Pannier,Eimile,4736
Andalax,Dan,2212
Tempsoft,Ephrayim,1227
Keylex,Ibrahim,2020
Cardguard,Manya,3963
Quo Lux,Tiphanie,5013
Toughjoyfax,Lotte,1006
Cardify,Rafaela,684
Regrant,Angelina,6771
Fintone,Merilyn,4064
Cardify,Coral,6190
Quo Lux,Thadeus,2779
Lotlux,Mick,6098
Konklab,Pattin,9293
Sonair,Horton,281
It,Joy,5490
Otcom,Maris,8988
Holdlamis,Ludovico,1040
Otcom,Orlando,6397
Mat Lam Tam,Barrett,3819
Namfix,Fara,3030
Lotstring,Minne,6292
Tempsoft,Orelie,7578
Zaam-Dox,Milo,4713
Viva,Freemon,7003
Viva,Davidson,327
Sub-Ex,Ernaline,3845
Bamity,Rona,2077
Zoolab,Arney,4237
Regrant,Lotty,2905
Subin,Benjamen,2416
Otcom,Vita,6769
Fintone,Ninnette,2297
Tresom,Nancy,8394
Cookley,Clark,5556
Span,Reuben,2656
Hatity,Garth,5761
Duobam,Ellynn,3488
Quo Lux,Maisie,1494
Y-find,Joellyn,825
Namfix,Mozes,4067
Daltfresh,Giorgi,679
Lotlux,Ulises,5972
Tin,Minny,9486
Alphazap,Fonzie,6990
Lotlux,Carine,4207
Redhold,Matty,5349
Toughjoyfax,Egbert,8757
Flowdesk,Filippo,9362
Asoka,Osbourne,8254
Ventosanzap,Kelsy,9598
Voltsillam,Mala,2684
Ronstring,Shoshanna,5567
Prodder,Donaugh,4179
Domainer,Staci,6795
Voyatouch,Jae,3308
Veribet,Miguela,5640
Greenlam,Mario,9884
Wrapsafe,Coletta,4912
Tempsoft,Bettye,4792
Rank,Carol,2722
Span,Alta,4687
Redhold,Carilyn,4550
Solarbreeze,Nerita,8729
Y-Solowarm,Eve,3139
Regrant,Lindsey,1930
Flexidy,Murry,1619
Sonair,Danette,7065
Solarbreeze,Rooney,3533
Wrapsafe,Morganne,2824
Sonair,Michaella,3137
Subin,Homerus,8246
Span,Jesse,2312
Span,Scarlet,1551
Bigtax,Eirena,1392
Cookley,Margi,3778
Ventosanzap,Marya,8503
Job,Ralina,9234
Namfix,Mehetabel,55
Quo Lux,Lanae,3865
Span,Karina,5317
Span,Laurice,4279
Alphazap,Free,8321
Tres-Zap,Minnnie,243
Wrapsafe,Rosalynd,36
Alphazap,Arron,1712
Flowdesk,Addy,6326
Hatity,Tori,2918
Duobam,Elyn,5774
It,Jacki,4592
Bigtax,Mellie,5716
Cookley,Syman,4933
Viva,Nikolaus,2331
Cookley,Tani,7794
Bigtax,Georgianne,7513
Flexidy,Aluin,2601
Voyatouch,Garret,1521
Stringtough,Alick,3462
It,Darnell,7078
Kanlam,Elaina,2811
Bitchip,Tanney,297
Fintone,Janean,9752
Domainer,Emlyn,609
Daltfresh,Roanna,4571
Zaam-Dox,Evelin,747
Flexidy,Grier,7808
Fintone,Kelcy,8642
Bytecard,Anjanette,3065
Gembucket,Ethelbert,8675
Andalax,Mia,2373
Stim,Jarid,5283
It,Sashenka,7834
Flowdesk,Nolie,6765
Kanlam,Lyndel,8533
Bigtax,Zoe,4399
Matsoft,Maddy,8582
Stringtough,Astrix,942
Flowdesk,Huntley,7758
Bytecard,Willa,3118
Greenlam,Nessi,8828
Trippledex,Maureene,6509
Quo Lux,Ricky,775
Bitchip,Kellyann,1917
Zoolab,Fay,2800
Stronghold,Mohammed,2556
Rank,Ulick,2867
Sonair,Desi,6174
Y-Solowarm,Beryl,6081
Kanlam,Sarena,3532
Duobam,Jerri,1342
Vagram,Ogdan,3852
