id,nombre,apellido,genero,animalfavorito,sueldo
105,Aloysius,Bjerkan,Bigender,Blue-breasted cordon bleu,2375.0
106,Darb,Benjefield,Non-binary,Javan gold-spotted mongoose,4099.9
107,Emma,Obington,Female,White stork,3854.6
108,Harmonie,Allaway,Genderqueer,Blue-faced booby,2166.3
109,Dillie,Neachell,Agender,Ant (unidentified),3352.3
110,Nealy,Klimkowski,Non-binary,Blue and yellow macaw,3406.4
111,Nickie,Tregenna,Female,Gecko (unidentified),4719.6
112,Zebulon,Thornham,Agender,Wolf spider,2574.4
113,Berkie,Craze,Genderfluid,Purple moorhen,3123.2
114,Palmer,Glawsop,Non-binary,"Gecko, ring-tailed",1816.9
115,Horacio,Royste,Female,Dingo,2658.8
116,Dita,Byart,Female,Cape wild cat,2157.2
117,See,Venard,Agender,Crested bunting,4822.7
118,Kelila,de Chastelain,Female,"Fox, grey",4133.0
119,Orville,Gately,Bigender,"Kingfisher, white-throated",3733.8
120,Nev,Sketcher,Agender,"Macaque, bonnet",3672.6
121,Gibbie,Mordan,Agender,"Sloth, two-toed tree",1775.7
122,Ninnetta,Hubner,Genderfluid,"Hare, arctic",2891.1
123,Dunstan,Fyldes,Male,"Heron, yellow-crowned night",4819.6
124,Weylin,Peachman,Agender,Sarus crane,3249.2
125,Erasmus,Geare,Polygender,Gila monster,3411.0
126,Howey,Polycote,Non-binary,Gaur,3019.6
127,Fancy,Tomlin,Polygender,Red kangaroo,1939.7
128,Glynnis,Asher,Agender,Cape fox,2041.3
129,Rosana,Lanphier,Genderqueer,"Gull, herring",2027.8
130,Aubree,Nitto,Polygender,Black spider monkey,2059.1
131,Denys,Mathen,Female,"Albatross, galapagos",2855.1
132,Aldus,Morrice,Bigender,Hottentot teal,4591.5
133,Kamilah,Wick,Genderfluid,Nubian bee-eater,3148.0
134,Darcy,Stevings,Non-binary,European spoonbill,2888.2
135,Mathilda,Burdekin,Bigender,"Lemur, lesser mouse",3965.9
136,Rosie,Blurton,Polygender,Wolf spider,1708.8
137,Tadio,Carles,Genderfluid,"Pintail, bahama",2731.7
138,Leland,Evers,Genderqueer,Kelp gull,1872.4
139,Jess,Newtown,Non-binary,"Quoll, eastern",4155.8
140,Jobye,Cortin,Agender,"Otter, african clawless",2044.4
141,Bridie,Mullin,Genderfluid,"Rhea, greater",2298.5
142,Nickie,Crissil,Polygender,"Weaver, white-browed sparrow",3367.3
143,Dorothy,Bakeup,Agender,Frilled dragon,4726.5
144,Lauryn,Batchelour,Female,Purple grenadier,2050.6
145,Magdalene,Tompkin,Polygender,"Siskin, pine",3596.4
146,Alexandr,Killiner,Non-binary,"Starling, greater blue-eared",4464.0
147,Westbrook,Muirden,Polygender,Spur-winged goose,4803.4
148,Konstance,Quant,Polygender,"Antelope, sable",4852.2
149,Derrick,Giannazzi,Polygender,Elegant crested tinamou,4734.9
150,Estele,Eckhard,Agender,"Francolin, swainson's",2786.0
151,Forest,Kubatsch,Genderfluid,Eurasian red squirrel,3552.0
152,Hector,Linnit,Non-binary,White-winged tern,2380.3
153,Shurlocke,Palin,Polygender,Southern right whale,3836.1
154,Geoff,De'Vere - Hunt,Male,Indian red admiral,4398.3
155,Heda,Philott,Female,"Owl, burrowing",3156.2
156,Shaylah,Artingstall,Bigender,Black-throated butcher bird,2425.1
157,Tiffany,Ewings,Female,Huron,3965.6
158,Chrysa,Jowsey,Agender,"Macaw, blue and yellow",2323.1
159,Lindsay,Caulwell,Male,Brown antechinus,2834.4
160,Kinna,Odam,Agender,Slender-billed cockatoo,1724.3
161,Mareah,Fullilove,Male,"Jackrabbit, white-tailed",4154.8
162,Neila,Skures,Genderfluid,"Capuchin, brown",3246.4
163,Donny,Woolbrook,Genderfluid,White-throated robin,2167.0
164,Anabella,Bond,Polygender,"Macaw, green-winged",4117.5
165,Terrence,Sherry,Male,Mexican boa,1946.9
166,Joanne,Allcock,Non-binary,American Virginia opossum,4036.4
167,Ania,Rosoni,Genderfluid,Greater rhea,2467.6
168,Eal,Branton,Polygender,African elephant,4648.8
169,Donica,Swift,Agender,American buffalo,3161.7
170,Shaun,Trewett,Genderfluid,Jungle kangaroo,2426.1
171,Nolana,Boncoeur,Genderqueer,Cook's tree boa,4149.2
172,Arthur,De Lisle,Polygender,"Waxbill, violet-eared",3283.3
173,Isadora,Bulmer,Agender,Brown hyena,1749.7
174,Casar,Colvine,Bigender,Bush dog,3637.7
175,Mace,Halgarth,Male,"Possum, pygmy",4904.4
176,Kristel,Marrett,Male,"Vulture, black",3160.7
177,Robbie,De Few,Bigender,Brindled gnu,2209.2
178,Jobi,Craiker,Polygender,Silver gull,3993.9
179,Benedicto,Meadway,Genderqueer,Groundhog,1522.9
180,Durante,Johansen,Genderqueer,"Dog, african wild",2641.4
181,Trudy,Moyser,Non-binary,Glossy starling (unidentified),3891.9
182,Lanita,Arnoult,Genderfluid,"Iguana, land",2787.1
183,Georgette,Francescuccio,Bigender,Hottentot teal,4952.8
184,Dorrie,Stedell,Female,"Hawk-eagle, crowned",1768.7
185,Jacky,Tortoishell,Polygender,Asiatic wild ass,3265.3
186,Fenelia,Ferrero,Bigender,"Roller, lilac-breasted",2908.6
187,Dido,Van Baaren,Bigender,Northern elephant seal,2841.3
188,Rurik,Pietzner,Female,"Quoll, eastern",4185.6
189,Bale,McClarence,Male,"Wombat, southern hairy-nosed",3064.2
190,Dona,Dudill,Bigender,Great egret,3942.8
191,Karlens,Fripps,Male,"Squirrel, pine",4581.7
192,Mikkel,Denial,Polygender,Genoveva,2888.0
193,Base,Eakins,Bigender,Caribou,3363.2
194,Iago,Asher,Genderfluid,"Buffalo, asian water",4448.8
195,Georgeanne,Jessope,Non-binary,Griffon vulture,3103.1
196,Edithe,Cork,Bigender,"Fowl, helmeted guinea",3345.6
197,Babita,Burberye,Genderfluid,Pied crow,2434.0
198,Gabie,Wasmuth,Genderqueer,Grant's gazelle,2865.6
199,Waverly,Moniker,Bigender,Red phalarope,4803.2
200,Abigael,Champney,Female,"Alligator, mississippi",4743.2
201,Cassy,Ransom,Genderqueer,"Bleu, blue-breasted cordon",3033.5
202,Taber,Venning,Genderfluid,"Waterbuck, defassa",2385.1
203,Alayne,Cretney,Bigender,Asian water buffalo,2510.3
204,Enrico,Henzley,Male,Common zebra,3916.1
205,Brnaby,Broseke,Non-binary,"Gecko, barking",2523.4
206,Gaynor,Curtayne,Bigender,Royal tern,2538.0
207,Robbie,Lodge,Male,"Owl, great horned",1784.0
208,Luke,Waby,Genderqueer,"Lion, galapagos sea",2698.0
209,Timmi,Prettyjohns,Non-binary,Canadian tiger swallowtail butterfly,2350.0
210,Moreen,Rheaume,Male,"Gnu, brindled",3848.7
211,Dermot,Kuhn,Genderfluid,Asian foreset tortoise,1924.7
212,Elliott,Foucher,Male,Bleeding heart monkey,3807.5
213,Moses,Cockitt,Female,"Eagle, african fish",3602.6
214,Selby,Haquin,Non-binary,Blesbok,3718.9
215,Aurthur,Nolte,Female,"Hornbill, red-billed",4360.8
216,Leanna,Farherty,Genderfluid,Brown and yellow marshbird,2448.5
217,Danyette,Gaskall,Male,Small-clawed otter,3468.7
218,Laurie,Posselow,Non-binary,Common eland,3725.7
219,Hube,Kemwall,Genderqueer,"Starling, cape",3984.5
220,Morty,Ellicott,Genderfluid,Southern black-backed gull,3390.9
221,Scottie,McKimmey,Non-binary,Burmese brown mountain tortoise,2365.6
222,Gayel,Bonifazio,Male,Red-legged pademelon,4589.3
223,Regine,Ind,Polygender,"Gazelle, grant's",2775.6
224,Elia,Millward,Agender,"Lion, california sea",4200.1
225,Amity,Gillings,Female,Long-necked turtle,4989.1
226,Sigismond,Skyme,Agender,Palm squirrel,3792.4
227,Gerda,Trye,Genderqueer,"Gorilla, western lowland",4658.7
228,Reinaldo,Skidmore,Genderqueer,Beisa oryx,2127.0
229,Gwenore,Siely,Female,Red lava crab,2716.5
230,Violette,Conti,Bigender,Cottonmouth,3062.2
231,Claudetta,Kiss,Female,Hyrax,1755.2
232,Reggi,Borrott,Female,Brown pelican,2867.1
233,Gisele,MacKissack,Genderqueer,"Lion, steller's sea",4731.6
234,Cleve,Trimmell,Genderfluid,"Fox, cape",4562.6
235,Merwyn,Philippeaux,Genderfluid,"Bulbul, black-fronted",1971.5
236,Karlotta,Broady,Genderfluid,"Screamer, southern",2403.2
237,Antonie,Livingstone,Female,Giant otter,3418.9
238,Bathsheba,Jepson,Polygender,Rainbow lory,3059.9
239,Ilaire,McCarly,Bigender,"Goldeneye, common",3845.2
240,Erinn,Blatchford,Agender,"Lemur, brown",1754.1
241,Sunshine,Tremmel,Genderqueer,"Kangaroo, brush-tailed rat",3675.3
242,Abbey,Roja,Bigender,"Openbill, asian",1684.9
243,Nelia,Hartle,Bigender,"Macaw, scarlet",3768.4
244,Marlow,Pollastro,Non-binary,Square-lipped rhinoceros,1604.6
245,Dov,Tippings,Female,Carpet snake,2456.8
246,Esma,Demko,Female,Black-crowned night heron,3314.8
247,Gabriell,Gotthard,Bigender,Ring-tailed possum,1645.4
248,Reagan,Reuther,Genderqueer,"Squirrel, golden-mantled ground",4152.3
249,Hewitt,Pavis,Polygender,Green-winged trumpeter,2290.2
250,Berry,Grieswood,Female,Magistrate black colobus,3489.8
251,Letizia,Hulke,Agender,Common zorro,2573.4
252,Ancell,Darlasson,Agender,"Shrike, southern white-crowned",2079.7
253,Brent,Elsie,Polygender,Beisa oryx,1861.8
254,Winni,Dugmore,Genderfluid,Long-billed cockatoo,3840.2
255,Ransell,Mac Giany,Bigender,Lesser mouse lemur,4316.2
256,Beth,Molder,Non-binary,Denham's bustard,2150.6
257,Jarred,Endicott,Female,"Woodcock, american",3744.2
258,Riobard,Dameisele,Polygender,African pied wagtail,2704.7
259,Truda,Good,Genderfluid,Bald eagle,3955.6
260,Yardley,Winny,Non-binary,"Bandicoot, short-nosed",3150.0
261,Tess,Caddell,Bigender,"Colobus, white-mantled",4019.6
262,Mallory,Leward,Bigender,"Zebra, common",1912.1
263,Glenine,Videan,Male,"Baboon, chacma",1692.3
264,Loise,Page,Agender,American racer,2656.4
265,Nathaniel,Belvin,Female,Laughing dove,2129.3
266,Rana,Golston,Genderqueer,"Squirrel, grey-footed",3440.6
267,Nikkie,Gouthier,Non-binary,Lesser masked weaver,1751.8
268,Austine,Vicary,Agender,Snake (unidentified),2343.1
269,Cam,Howett,Bigender,"Squirrel, malabar",1575.5
270,Wendell,Huonic,Bigender,Wild boar,4661.2
271,Rosabelle,Trounce,Polygender,Common boubou shrike,4910.2
272,Harriet,Bernard,Bigender,"Weaver, white-browed sparrow",4743.3
273,Cecil,Spoure,Genderfluid,"Elk, Wapiti",4216.0
274,Krystal,Baudassi,Non-binary,Bat-eared fox,3970.7
275,Gerald,LAbbet,Female,Red kangaroo,4764.9
276,Iggy,Aherne,Genderqueer,"Corella, long-billed",2911.3
277,Randell,Davenhill,Polygender,Black kite,3176.8
278,Edgar,Maccrae,Polygender,"Turaco, violet-crested",3794.9
279,Monti,Avramov,Polygender,Yellow-headed caracara,4896.9
280,Kerri,Boulstridge,Male,Swallow-tail gull,2907.1
281,Esdras,Earsman,Genderqueer,"Skunk, striped",3462.9
282,Felike,Howen,Non-binary,African snake (unidentified),3816.4
283,Lin,Attryde,Bigender,Cobra (unidentified),2378.7
284,Wilfred,Bruffell,Agender,"Crane, brolga",4438.1
285,Bell,Ditchett,Bigender,Common wolf,4842.2
286,Maxi,Worledge,Agender,Yellow-headed caracara,4534.0
287,Florella,Jone,Female,Chuckwalla,2364.0
288,Colene,Marien,Genderqueer,"Barbet, black-collared",3414.3
289,Ingmar,Shearwood,Non-binary,"Badger, american",4065.6
290,Richy,Daniele,Polygender,"Cat, miner's",2742.8
291,Lazarus,Fennelly,Agender,"Hawk, galapagos",4011.2
292,Elisabet,Standidge,Agender,Pied avocet,4611.1
293,Effie,Inglese,Agender,Leadbeateri's ground hornbill,1979.3
294,Tomasine,Colles,Polygender,Rufous-collared sparrow,4286.3
295,Papagena,Di Napoli,Polygender,"Cat, tiger",3697.0
296,Lammond,Dobbins,Female,"Boa, emerald green tree",1901.2
297,Ab,Warham,Genderqueer,Tyrant flycatcher,3080.1
298,Brandie,Barts,Bigender,River wallaby,2810.3
299,Nikolaus,Johantges,Non-binary,"Dolphin, common",3912.6
300,Noel,Stoven,Polygender,Jungle kangaroo,2044.2
301,Dorelle,Caswall,Polygender,"Possum, pygmy",3159.2
302,Gisele,Hamstead,Male,"Magpie, black-backed",3904.4
303,Abbot,Jewes,Female,"Jackal, silver-backed",1868.3
304,Galina,Rawlyns,Non-binary,"Crake, african black",4981.0
305,Wald,Habens,Genderqueer,"Trumpeter, dark-winged",3674.7
306,Roman,Forster,Genderfluid,Moose,3152.1
307,Brant,Archbell,Genderqueer,"Squirrel, uinta ground",2103.5
308,Cherlyn,Balkwill,Female,"Badger, honey",3098.9
309,Lanni,Gross,Non-binary,Striated heron,2569.8
310,Lauren,Eingerfield,Polygender,Collared peccary,4126.9
311,Vina,Karslake,Genderqueer,Cape Barren goose,3727.6
312,Lula,Dorning,Non-binary,Hottentot teal,2417.3
313,Margi,Kerrich,Agender,Common waterbuck,2069.8
314,Lenci,Pepperell,Bigender,Lily trotter,4578.1
315,Ruggiero,Heistermann,Bigender,Golden eagle,4589.8
316,Freddie,Zappel,Female,"Rattlesnake, eastern diamondback",3712.5
317,Roley,Ramas,Female,Black-eyed bulbul,4688.3
318,Bren,Caccavari,Genderqueer,"Curlew, black",3200.4
319,Mead,Tome,Non-binary,"Blackbird, red-winged",3068.2
320,Alexandrina,Steggles,Bigender,Thomson's gazelle,2398.8
321,Graeme,Delacroux,Genderqueer,"Hornbill, southern ground",2956.7
322,Wilona,Redwood,Agender,Swallow (unidentified),4400.9
323,Nicky,Gotcher,Genderqueer,"Hedgehog, south african",2613.8
324,Matthias,Carletti,Non-binary,"Ibis, glossy",2730.1
325,Marlin,Cancelier,Genderfluid,"Cardinal, black-throated",2027.3
326,Hernando,Tuffey,Non-binary,"Magpie, black-backed",1575.2
327,Fawne,Shewring,Genderqueer,"Eagle, golden",4036.0
328,Bertina,Jiri,Genderqueer,Violet-eared waxbill,3782.6
329,Annecorinne,Glavis,Genderfluid,"Curlew, black",4210.6
330,Joyann,Torel,Polygender,European beaver,4152.9
331,Sabina,Roubeix,Genderfluid,Striped skunk,2613.0
332,Elenore,Middlemist,Non-binary,"Dove, galapagos",1942.9
333,Orlan,McKendo,Polygender,"Weaver, chestnut",3142.7
334,Audi,MacVagh,Genderqueer,African snake (unidentified),3828.1
335,Beltran,Cuttings,Agender,Thomson's gazelle,4125.8
336,Allister,Rawood,Genderqueer,"Eagle, long-crested hawk",3207.8
337,Betta,Honisch,Polygender,"Buffalo, wild water",1959.8
338,Kinna,Whales,Male,American beaver,3349.6
339,Cissy,Robichon,Female,"Siskin, yellow-rumped",3493.8
340,Jarvis,Espine,Bigender,African ground squirrel (unidentified),3014.1
341,Paulita,Cypler,Genderfluid,"Dunnart, fat-tailed",3103.5
342,Kellina,McGonagle,Male,"Mongoose, banded",2061.1
343,Georgena,Farherty,Male,"Python, carpet",4557.9
344,Swen,Le Breton De La Vieuville,Agender,Long-tailed jaeger,2558.6
345,Ulla,Bartosek,Male,Tayra,1586.0
346,Vivian,Boodell,Genderfluid,Striped skunk,2593.9
347,Shell,Melmoth,Agender,Beisa oryx,4109.4
348,Merill,Commusso,Polygender,Black rhinoceros,4243.9
349,Morley,Blamires,Bigender,"Iguana, marine",4966.5
350,Meris,Sealand,Genderfluid,Monitor lizard (unidentified),4106.1
351,Chet,Ferrario,Bigender,Palm squirrel,2215.3
352,Fredra,Farren,Female,"Lemur, ring-tailed",2730.0
353,Wilow,Streeting,Non-binary,"Dog, bush",4239.1
354,Vina,Lampkin,Female,Azara's zorro,4242.9
355,Gabby,Wileman,Genderqueer,Ovenbird,2478.3
356,Christoforo,Ludl,Agender,"Starling, red-shouldered glossy",3826.1
357,Jaime,Hengoed,Bigender,Nelson ground squirrel,4728.8
358,Nevile,Boler,Agender,"Baboon, yellow",3677.3
359,Sawyere,Frediani,Female,Agama lizard (unidentified),2611.8
360,Cleon,Vowell,Bigender,"Turtle, snake-necked",3187.4
361,Sal,Whatson,Female,African lion,2606.0
362,Temp,Garthshore,Polygender,"Turaco, violet-crested",4927.4
363,Amby,Kose,Polygender,Wild boar,2650.8
364,Billie,Childs,Female,"Cockatoo, roseate",1687.4
365,Katlin,Phibb,Genderqueer,"Trotter, lily",1755.2
366,Stoddard,Yerbury,Genderfluid,Field flicker,4009.8
367,Joyce,Steer,Non-binary,Indian leopard,1777.3
368,Case,Cluff,Agender,Bottle-nose dolphin,2799.6
369,Tim,Cremen,Genderqueer,Japanese macaque,1597.4
370,Ellen,Conant,Bigender,Whip-tailed wallaby,2460.2
371,Herold,Beautyman,Genderfluid,Javanese cormorant,1740.1
372,Ulrick,Ponder,Male,Stanley bustard,4181.9
373,Carr,Gudge,Non-binary,Grant's gazelle,4973.4
374,Rorie,Farlambe,Polygender,Yellow-billed hornbill,3817.8
375,Susette,Minillo,Non-binary,Field flicker,3726.6
376,Mary,Sitlinton,Female,"Lion, steller sea",2193.1
377,Neils,Nuth,Male,Laughing kookaburra,3077.6
378,Danit,Raynes,Agender,"Kiskadee, great",1872.1
379,Flint,Gascar,Non-binary,Ringtail,2547.7
380,Laurie,Liebmann,Male,Steenbuck,3248.2
381,Sauveur,Lippitt,Genderfluid,"Monkey, rhesus",4783.7
382,Zuzana,Orknay,Female,Gambel's quail,1598.8
383,Glen,Songer,Genderfluid,"Lion, asian",3713.1
384,Artemis,Bontine,Bigender,Little blue penguin,4501.4
385,Carmelia,Beretta,Female,"Kiskadee, great",3416.0
386,Caryl,Howcroft,Non-binary,Yellow-rumped siskin,2985.2
387,Shandy,Pointing,Female,"Langur, common",4101.6
388,Viviana,Chatel,Non-binary,Flying fox (unidentified),3613.2
389,Holli,Brundale,Female,Baleen whale,3055.2
390,Suzie,Greenrde,Agender,Eastern white pelican,3957.4
391,Daria,Brady,Agender,Laughing dove,1580.9
392,Miner,Exelby,Bigender,"Possum, pygmy",3713.3
393,Shelby,Songist,Male,White-nosed coatimundi,4304.8
394,Ondrea,Doghartie,Genderqueer,Bent-toed gecko,1891.3
395,Bobette,Bilbrooke,Agender,Glossy starling (unidentified),4525.3
396,Noel,Iggo,Non-binary,Tiger snake,2914.0
397,Analiese,Cahill,Female,Cook's tree boa,2106.8
398,Alister,Broadley,Polygender,"Wapiti, elk,",4645.2
399,Sofia,Orae,Agender,"Dragonfly, russian",4989.4
400,Rachele,Sivier,Male,White-bellied sea eagle,2016.9
401,Morris,Leser,Male,"Whale, southern right",4243.9
402,Lilla,Folcarelli,Male,Kafue flats lechwe,2888.7
403,Clotilda,Skippon,Female,"Baboon, yellow",4071.5
404,Farlay,Lohde,Bigender,"Heron, giant",4567.9
405,Val,Costellow,Genderfluid,Oriental white-backed vulture,2540.5
406,Idette,Edon,Genderfluid,Arctic tern,3357.7
407,Lurline,Sullens,Bigender,"Eagle, bateleur",3244.4
408,Tamera,Barends,Non-binary,"Eagle, bald",1739.2
409,Christophe,Zuann,Female,Brown hyena,4136.7
410,Ezequiel,Gregore,Genderfluid,Australian masked owl,2193.4
411,Itch,Cutbush,Female,"Anteater, giant",3644.8
412,Remington,Pettiward,Genderfluid,"Hawk, red-tailed",4701.6
413,Nev,Godfray,Polygender,"Bustard, kori",3366.9
414,Minta,Drawmer,Agender,"Heron, yellow-crowned night",4780.0
415,Westleigh,Malt,Polygender,Greater roadrunner,2163.0
416,Alisha,Petracco,Agender,"Bear, sloth",4758.5
417,Malina,Gheraldi,Male,"Phalarope, red-necked",3079.2
418,Tallou,Iiannone,Polygender,Tiger cat,3413.8
419,Gabie,Cromett,Bigender,"Hyena, striped",2720.3
420,Daniele,McIlmorie,Male,Gulls (unidentified),3068.6
421,Emlyn,Giamitti,Genderfluid,"Wallaby, bennett's",3314.5
422,Avigdor,Guitel,Non-binary,"Snake, racer",4572.8
423,Shelba,Copo,Agender,"Lemur, brown",3867.5
424,Albertina,Sebright,Non-binary,European beaver,4132.6
425,Berti,Rizzolo,Bigender,Rufous-collared sparrow,1506.8
426,Garreth,Blackett,Non-binary,Long-billed corella,3143.6
427,Betta,Gorry,Polygender,Butterfly (unidentified),3964.7
428,Brook,Troutbeck,Genderfluid,"Dog, black-tailed prairie",4543.0
429,Lynnell,Tunnicliffe,Female,Short-nosed bandicoot,3037.2
430,Gunilla,Simonard,Female,Grey phalarope,1547.4
431,Salli,Houdmont,Non-binary,"Teal, hottentot",2162.8
432,Rosamund,Piesing,Male,Mouflon,2017.7
433,Dwain,Squire,Genderqueer,Red-breasted nuthatch,4873.9
434,Franny,Morris,Genderfluid,African lynx,1594.1
435,Cherey,Biaggioni,Polygender,"Dove, rock",2624.4
436,Lurline,Bodleigh,Non-binary,Dabchick,3746.9
437,Eugene,Aggott,Genderfluid,Yellow baboon,2309.7
438,Jenilee,Dowsing,Genderqueer,Coqui partridge,2429.1
